language,biased,neutral_primary,neutral_alternatives,tags,pos,scope,register,severity,bias_label,stereotype_category,explicitness,ngeli,number,requires_agreement,agreement_notes,patterns,constraints,avoid_when,example_biased,example_neutral
sw,daktari wa kiume,daktari,mtaalamu wa afya,gender|occupation,phrase,healthcare,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Daktari wa kiume alipima mgonjwa,Daktari alipima mgonjwa
sw,daktari wa kike,daktari,mtaalamu wa afya,gender|occupation,phrase,healthcare,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Daktari wa kike alipima mgonjwa,Daktari alipima mgonjwa
sw,muuguzi wa kike,muuguzi,mhudumu wa afya,gender|occupation,phrase,healthcare,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Muuguzi wa kike alitoa dawa,Muuguzi alitoa dawa
sw,muuguzi wa kiume,muuguzi,mhudumu wa afya,gender|occupation,phrase,healthcare,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Muuguzi wa kiume alitoa dawa,Muuguzi alitoa dawa
sw,mkunga wa kike,mkunga,mtaalamu wa uzazi,gender|occupation,phrase,healthcare,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mkunga wa kike alisaidia uzazi,Mkunga alisaidia uzazi
sw,mhandisi wa kiume,mhandisi,mtaalamu wa uhandisi,gender|occupation,phrase,technical,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mhandisi wa kiume alibuni daraja,Mhandisi alibuni daraja
sw,mhandisi wa kike,mhandisi,mtaalamu wa uhandisi,gender|occupation,phrase,technical,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mhandisi wa kike alibuni daraja,Mhandisi alibuni daraja
sw,dereva wa kiume,dereva,opereta wa gari,gender|occupation,phrase,transport,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Dereva wa kiume aliondoka alfajiri,Dereva aliondoka alfajiri
sw,dereva wa kike,dereva,opereta wa gari,gender|occupation,phrase,transport,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Dereva wa kike aliondoka alfajiri,Dereva aliondoka alfajiri
sw,rubani wa kiume,rubani,nahodha wa ndege,gender|occupation,phrase,transport,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Rubani wa kiume aliruka ndege,Rubani aliruka ndege
sw,rubani wa kike,rubani,nahodha wa ndege,gender|occupation,phrase,transport,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Rubani wa kike aliruka ndege,Rubani aliruka ndege
sw,mkulima wa kiume,mkulima,mfanyakazi wa kilimo,gender|occupation,phrase,agriculture,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mkulima wa kiume alipanda mazao,Mkulima alipanda mazao
sw,mkulima wa kike,mkulima,mfanyakazi wa kilimo,gender|occupation,phrase,agriculture,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mkulima wa kike alipanda mazao,Mkulima alipanda mazao
sw,mvuvi wa kiume,mvuvi,mfanyakazi wa uvuvi,gender|occupation,phrase,agriculture,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mvuvi wa kiume alivua samaki,Mvuvi alivua samaki
sw,mpishi wa kike,mpishi,mtaalamu wa upishi,gender|occupation,phrase,hospitality,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mpishi wa kike alipika chakula,Mpishi alipika chakula
sw,mpishi wa kiume,mpishi,mtaalamu wa upishi,gender|occupation,phrase,hospitality,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mpishi wa kiume alipika chakula,Mpishi alipika chakula
sw,meneja wa kiume,meneja,msimamizi,gender|occupation,phrase,business,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Meneja wa kiume aliongoza timu,Meneja aliongoza timu
sw,meneja wa kike,meneja,msimamizi,gender|occupation,phrase,business,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Meneja wa kike aliongoza timu,Meneja aliongoza timu
sw,profesa wa kiume,profesa,mwalimu mkuu,gender|occupation,phrase,education,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Profesa wa kiume alifundisha,Profesa alifundisha
sw,profesa wa kike,profesa,mwalimu mkuu,gender|occupation,phrase,education,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Profesa wa kike alifundisha,Profesa alifundisha
sw,mwalimu wa kiume,mwalimu,mwalimu,gender|occupation,phrase,education,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mwalimu wa kiume alifundisha darasa,Mwalimu alifundisha darasa
sw,mwalimu wa kike,mwalimu,mwalimu,gender|occupation,phrase,education,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mwalimu wa kike alifundisha darasa,Mwalimu alifundisha darasa
sw,fundi wa kiume,fundi,mtaalamu wa ufundi,gender|occupation,phrase,technical,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Fundi wa kiume alirekebishe bomba,Fundi alirekebishe bomba
sw,fundi wa kike,fundi,mtaalamu wa ufundi,gender|occupation,phrase,technical,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Fundi wa kike alirekebishe bomba,Fundi alirekebishe bomba
sw,mhasibu wa kiume,mhasibu,mtaalamu wa hesabu,gender|occupation,phrase,business,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mhasibu wa kiume alikagua hesabu,Mhasibu alikagua hesabu
sw,mhasibu wa kike,mhasibu,mtaalamu wa hesabu,gender|occupation,phrase,business,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mhasibu wa kike alikagua hesabu,Mhasibu alikagua hesabu
sw,wakili wa kiume,wakili,mtetezi wa kisheria,gender|occupation,phrase,legal,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Wakili wa kiume alitetea mteja,Wakili alitetea mteja
sw,wakili wa kike,wakili,mtetezi wa kisheria,gender|occupation,phrase,legal,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Wakili wa kike alitetea mteja,Wakili alitetea mteja
sw,hakimu wa kiume,hakimu,afisa wa mahakama,gender|occupation,phrase,legal,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Hakimu wa kiume alitoa hukumu,Hakimu alitoa hukumu
sw,hakimu wa kike,hakimu,afisa wa mahakama,gender|occupation,phrase,legal,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Hakimu wa kike alitoa hukumu,Hakimu alitoa hukumu
sw,mbunge wa kiume,mbunge,mwakilishi,gender|occupation,phrase,political,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mbunge wa kiume aliongea,Mbunge aliongea
sw,mbunge wa kike,mbunge,mwakilishi,gender|occupation,phrase,political,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mbunge wa kike aliongea,Mbunge aliongea
sw,msanii wa kiume,msanii,mtaalamu wa sanaa,gender|occupation,phrase,arts,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Msanii wa kiume alichora picha,Msanii alichora picha
sw,msanii wa kike,msanii,mtaalamu wa sanaa,gender|occupation,phrase,arts,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Msanii wa kike alichora picha,Msanii alichora picha
sw,mwimbaji wa kiume,mwimbaji,mtaalamu wa muziki,gender|occupation,phrase,arts,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mwimbaji wa kiume aliimba wimbo,Mwimbaji aliimba wimbo
sw,mwimbaji wa kike,mwimbaji,mtaalamu wa muziki,gender|occupation,phrase,arts,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mwimbaji wa kike aliimba wimbo,Mwimbaji aliimba wimbo
sw,Yeye ni,Ni,,pronoun_assumption,phrase,general,formal,warn,stereotype,daily_life,explicit,,,false,"Pronoun assumption rule — 'Yeye ni' (He/she is) implies the subject's gender before identifying their role. In Swahili (pro-drop language), stating the subject pronoun is often unnecessary. WARN only — cannot auto-replace because 'Yeye ni' also appears in anaphoric reference (prior subject named), quoted speech, and neutral factual contexts. Only genuine bias when: (1) no named referent earlier in text AND (2) occupation is strongly gendered. Requires human review to confirm.",,,,Ni muuguzi mzuri,
sw,Yeye anafanya,Anafanya,,pronoun_assumption,phrase,general,formal,warn,stereotype,daily_life,explicit,,,false,Pronoun assumption — 'Yeye anafanya' implies a gendered subject. Downgraded to warn: fires on neutral sentences like 'Yeye anafanya kazi kama yangu' (he does work like mine). Only bias when gender assumption is clear from context.,,,,Anafanya kazi ya uandishi,
sw,wa kike,,,morphology,suffix,general,formal,warn,stereotype,daily_life,explicit,,,false,Gender-marked suffix (female),,,,Mwalimu wa kike alifundisha,Mwalimu alifundisha
sw,wa kiume,,,morphology,suffix,general,formal,warn,stereotype,daily_life,explicit,,,false,Gender-marked suffix (male),,,,Daktari wa kiume alipima,Daktari alipima
sw,mama wa nyumbani,mtu wa nyumbani,mlezi wa nyumbani,pronoun_assumption,phrase,general,formal,replace,stereotype,family_role,explicit,,,false,,,,,Yeye ni mama wa nyumbani tu,Ni mtu wa nyumbani
sw,baba wa nyumbani,mtu wa nyumbani,mlezi wa nyumbani,pronoun_assumption,phrase,general,formal,replace,stereotype,family_role,explicit,,,false,,,,,Yeye ni baba wa nyumbani,Ni mtu wa nyumbani
sw,mke wa,mwenzi wa,mpenzi wa,pronoun_assumption,phrase,general,formal,warn,stereotype,family_role,explicit,,,false,Factual marital reference — mke wa X is biographical/factual in most contexts. Flagging as warn only to avoid false positives on sentences like 'Mke wa Rais alihudhuria sherehe' or 'Winnie Mandela mke wa Nelson Mandela'. Replace-severity would fire on nearly all marital references regardless of whether they imply bias.,,quote|biographical,biographical|quote,Mwenzi wa meneja alikuja,
sw,mume wa,mwenzi wa,mpenzi wa,pronoun_assumption,phrase,general,formal,warn,stereotype,family_role,explicit,,,false,Factual marital reference — mume wa X fires on neutral biographical sentences (e.g. 'mume wa daktari alikuja' meaning 'the doctor's husband came'). Downgraded to warn like mke wa — auto-replacement would convert all husband-references regardless of bias context.,,biographical|quote,,Mwenzi wa daktari alikuja,
sw,zake,zao,,pronoun_generic,suffix,general,formal,warn,stereotype,daily_life,explicit,,,false,"Generic possessive — WARN only when human occupation referent is present. zake agrees with ki-vi or other noun classes, not human gender. False positive risk is very high on neutral sentences.",\bzake\b,"Only flag when preceded within 40 chars by a human occupation noun (m-wa class). zake is a standard noun-class possessive concord — firing on inanimate nouns (nyumba, kadi, matokeo) is a false positive. Required human-referent pattern: \b(daktari|muuguzi|mwalimu|rubani|dereva|mhandisi|wakili|mbunge|waziri|rais|koch...",statistical|biographical,rekodi zake,rekodi zao
sw,wake,wao,,pronoun_generic,suffix,general,formal,warn,stereotype,daily_life,explicit,,,false,"Generic possessive — WARN only when human occupation referent is present. High false positive risk: mke wake, mume wake are factual family refs, not bias.",\bwake\b,"Only flag when preceded within 40 chars by a human occupation noun (m-wa class). wake agrees with m-wa class but fires on any m-wa noun including inanimate ones. Avoid: mwaka wake, mkoba wake, msururu wake, mto wake.",statistical|biographical,wagonjwa wake,wagonjwa wao
sw,yake,yao,,pronoun_generic,suffix,general,formal,warn,stereotype,daily_life,explicit,,,false,Generic possessive — WARN only when human occupation referent is present. Extremely high false positive risk: yake is one of most common Swahili words.,\byake\b,"Only flag when preceded within 40 chars by a human occupation noun. yake agrees with n, i-zi, u-i noun classes — virtually all inanimate. Firing on kadi yake, nyumba yake, kazi yake, shule yake is a false positive.",statistical|biographical,kadi yake,kadi yao
sw,Mama msafishaji,Msafishaji,mfanyakazi wa usafi,gender|occupation,phrase,service,formal,replace,stereotype,profession,explicit,1/2,sg,false,,,,,Mama msafishaji anakuja Ijumaa,Msafishaji anakuja Ijumaa
sw,Baba mzee,Mzee,mtu mzima,gender|age,phrase,general,formal,replace,stereotype,daily_life,explicit,1/2,sg,false,,,,,Baba mzee alikuja nyumbani,Mzee alikuja nyumbani
sw,Mama mzee,Mzee,mtu mzima,gender|age,phrase,general,formal,replace,stereotype,daily_life,explicit,1/2,sg,false,,,,,Mama mzee alikuja nyumbani,Mzee alikuja nyumbani
sw,kazi ya wanawake,kazi,kazi ya kawaida,stereotype,phrase,general,formal,replace,stereotype,profession,explicit,,,false,,,,,Hii ni kazi ya wanawake tu,Hii ni kazi ya kawaida
